,miRNA,ceRNA,species,database,type
3812,hsa-let-7a-2-3p,IST1,Homo sapiens,miRWalk,miRNA-mRNA
3813,hsa-let-7a-2-3p,ITGA10,Homo sapiens,miRDB_6.0,miRNA-mRNA
3814,hsa-let-7a-2-3p,ITGA2B,Homo sapiens,miRWalk,miRNA-mRNA
3815,hsa-let-7a-2-3p,ITGA6,Homo sapiens,miRWalk,miRNA-mRNA
3816,hsa-let-7a-2-3p,ITGA7,Homo sapiens,miRWalk,miRNA-mRNA
3817,hsa-let-7a-2-3p,ITGB1,Homo sapiens,miRDB_6.0,miRNA-mRNA
3818,hsa-let-7a-2-3p,ITIH1,Homo sapiens,miRWalk,miRNA-mRNA
3819,hsa-let-7a-2-3p,ITM2C,Homo sapiens,miRWalk,miRNA-mRNA
3820,hsa-let-7a-2-3p,ITSN2,Homo sapiens,RNAInter,miRNA-mRNA
3821,hsa-let-7a-2-3p,IZUMO1,Homo sapiens,miRWalk,miRNA-mRNA
3822,hsa-let-7a-2-3p,IZUMO3,Homo sapiens,miRWalk,miRNA-mRNA
3823,hsa-let-7a-2-3p,JADE2,Homo sapiens,miRWalk,miRNA-mRNA
3824,hsa-let-7a-2-3p,JAG2,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
3825,hsa-let-7a-2-3p,JAKMIP3,Homo sapiens,miRWalk,miRNA-mRNA
3826,hsa-let-7a-2-3p,JAM2,Homo sapiens,miRWalk,miRNA-mRNA
3827,hsa-let-7a-2-3p,JMJD1C,Homo sapiens,miRDB_6.0,miRNA-mRNA
3828,hsa-let-7a-2-3p,JOSD1,Homo sapiens,miRWalk,miRNA-mRNA
3829,hsa-let-7a-2-3p,JPH2,Homo sapiens,miRWalk,miRNA-mRNA
3830,hsa-let-7a-2-3p,JRKL,Homo sapiens,miRWalk,miRNA-mRNA
3831,hsa-let-7a-2-3p,JUNB,Homo sapiens,miRWalk,miRNA-mRNA
3832,hsa-let-7a-2-3p,KANK1,Homo sapiens,miRWalk,miRNA-mRNA
3833,hsa-let-7a-2-3p,KANSL1,Homo sapiens,miRWalk,miRNA-mRNA
3834,hsa-let-7a-2-3p,KANSL1L,Homo sapiens,miRDB_6.0,miRNA-mRNA
3835,hsa-let-7a-2-3p,KANTR,Homo sapiens,miRWalk,miRNA-mRNA
3836,hsa-let-7a-2-3p,KAT6A,Homo sapiens,miRDB_6.0,miRNA-mRNA
3837,hsa-let-7a-2-3p,KAT6B,Homo sapiens,miRDB_6.0,miRNA-mRNA
3838,hsa-let-7a-2-3p,KAT7,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
3839,hsa-let-7a-2-3p,KATNAL1,Homo sapiens,miRWalk,miRNA-mRNA
3840,hsa-let-7a-2-3p,KATNBL1,Homo sapiens,miRWalk,miRNA-mRNA
3841,hsa-let-7a-2-3p,KBTBD12,Homo sapiens,miRWalk,miRNA-mRNA
3842,hsa-let-7a-2-3p,KBTBD2,Homo sapiens,miRWalk,miRNA-mRNA
3843,hsa-let-7a-2-3p,KCNB1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
3844,hsa-let-7a-2-3p,KCNB2,Homo sapiens,miRWalk,miRNA-mRNA
3845,hsa-let-7a-2-3p,KCNC2,Homo sapiens,miRWalk,miRNA-mRNA
3846,hsa-let-7a-2-3p,KCND2,Homo sapiens,miRDB_6.0,miRNA-mRNA
3847,hsa-let-7a-2-3p,KCNE1,Homo sapiens,miRWalk,miRNA-mRNA
3848,hsa-let-7a-2-3p,KCNH4,Homo sapiens,miRWalk,miRNA-mRNA
3849,hsa-let-7a-2-3p,KCNH7,Homo sapiens,miRWalk,miRNA-mRNA
3850,hsa-let-7a-2-3p,KCNIP3,Homo sapiens,miRWalk,miRNA-mRNA
3851,hsa-let-7a-2-3p,KCNIP4,Homo sapiens,miRWalk,miRNA-mRNA
3852,hsa-let-7a-2-3p,KCNJ16,Homo sapiens,miRWalk,miRNA-mRNA
3853,hsa-let-7a-2-3p,KCNJ6,Homo sapiens,miRDB_6.0,miRNA-mRNA
3854,hsa-let-7a-2-3p,KCNK1,Homo sapiens,miRDB_6.0,miRNA-mRNA
3855,hsa-let-7a-2-3p,KCNK16,Homo sapiens,miRWalk,miRNA-mRNA
3856,hsa-let-7a-2-3p,KCNK5,Homo sapiens,miRWalk,miRNA-mRNA
3857,hsa-let-7a-2-3p,KCNMB3,Homo sapiens,miRWalk,miRNA-mRNA
3858,hsa-let-7a-2-3p,KCNN1,Homo sapiens,miRWalk,miRNA-mRNA
3859,hsa-let-7a-2-3p,KCNN2,Homo sapiens,miRWalk,miRNA-mRNA
3860,hsa-let-7a-2-3p,KCNQ3,Homo sapiens,miRWalk,miRNA-mRNA
3861,hsa-let-7a-2-3p,KCNQ4,Homo sapiens,miRWalk,miRNA-mRNA
3862,hsa-let-7a-2-3p,KCNS1,Homo sapiens,miRWalk,miRNA-mRNA
3863,hsa-let-7a-2-3p,KCNV1,Homo sapiens,miRWalk,miRNA-mRNA
3864,hsa-let-7a-2-3p,KCTD9,Homo sapiens,miRWalk,miRNA-mRNA
3865,hsa-let-7a-2-3p,KDELR1,Homo sapiens,RNAInter,miRNA-mRNA
3866,hsa-let-7a-2-3p,KDM2A,Homo sapiens,miRWalk,miRNA-mRNA
3867,hsa-let-7a-2-3p,KDM2B,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
3868,hsa-let-7a-2-3p,KDM3A,Homo sapiens,miRDB_6.0;miRWalk;RNAInter,miRNA-mRNA
3869,hsa-let-7a-2-3p,KDM5C,Homo sapiens,RNAInter,miRNA-mRNA
3870,hsa-let-7a-2-3p,KDM6A,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
3871,hsa-let-7a-2-3p,KDM6B,Homo sapiens,miRWalk,miRNA-mRNA
3872,hsa-let-7a-2-3p,KHDRBS3,Homo sapiens,miRWalk,miRNA-mRNA
3873,hsa-let-7a-2-3p,KIAA0232,Homo sapiens,miRWalk,miRNA-mRNA
3874,hsa-let-7a-2-3p,KIAA0319,Homo sapiens,miRWalk,miRNA-mRNA
3875,hsa-let-7a-2-3p,KIAA1217,Homo sapiens,miRWalk,miRNA-mRNA
3876,hsa-let-7a-2-3p,KIAA1671,Homo sapiens,miRWalk,miRNA-mRNA
3877,hsa-let-7a-2-3p,KIAA2012,Homo sapiens,miRWalk,miRNA-mRNA
3878,hsa-let-7a-2-3p,KIAA2026,Homo sapiens,miRDB_6.0,miRNA-mRNA
3879,hsa-let-7a-2-3p,KIF13A,Homo sapiens,miRDB_6.0,miRNA-mRNA
3880,hsa-let-7a-2-3p,KIF15,Homo sapiens,miRWalk,miRNA-mRNA
3881,hsa-let-7a-2-3p,KIF18A,Homo sapiens,miRWalk,miRNA-mRNA
3882,hsa-let-7a-2-3p,KIF2C,Homo sapiens,miRWalk,miRNA-mRNA
3883,hsa-let-7a-2-3p,KIF3C,Homo sapiens,miRWalk,miRNA-mRNA
3884,hsa-let-7a-2-3p,KIF4A,Homo sapiens,miRWalk,miRNA-mRNA
3885,hsa-let-7a-2-3p,KIFAP3,Homo sapiens,miRWalk,miRNA-mRNA
3886,hsa-let-7a-2-3p,KIRREL3,Homo sapiens,miRWalk,miRNA-mRNA
3887,hsa-let-7a-2-3p,KIZ,Homo sapiens,miRWalk,miRNA-mRNA
3888,hsa-let-7a-2-3p,KLC3,Homo sapiens,miRWalk,miRNA-mRNA
3889,hsa-let-7a-2-3p,KLF11,Homo sapiens,miRWalk,miRNA-mRNA
3890,hsa-let-7a-2-3p,KLF7,Homo sapiens,miRDB_6.0;miRTarBase_9.0,miRNA-mRNA
3891,hsa-let-7a-2-3p,KLF9,Homo sapiens,miRWalk,miRNA-mRNA
3892,hsa-let-7a-2-3p,KLHDC8A,Homo sapiens,miRWalk,miRNA-mRNA
3893,hsa-let-7a-2-3p,KLHL13,Homo sapiens,miRWalk,miRNA-mRNA
3894,hsa-let-7a-2-3p,KLHL15,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
3895,hsa-let-7a-2-3p,KLHL2,Homo sapiens,miRWalk,miRNA-mRNA
3896,hsa-let-7a-2-3p,KLHL20,Homo sapiens,miRWalk,miRNA-mRNA
3897,hsa-let-7a-2-3p,KLHL23,Homo sapiens,RNAInter,miRNA-mRNA
3898,hsa-let-7a-2-3p,KLK11,Homo sapiens,miRWalk,miRNA-mRNA
3899,hsa-let-7a-2-3p,KLK6,Homo sapiens,miRWalk,miRNA-mRNA
3900,hsa-let-7a-2-3p,KLK8,Homo sapiens,miRWalk,miRNA-mRNA
3901,hsa-let-7a-2-3p,KLRC1,Homo sapiens,miRWalk,miRNA-mRNA
3902,hsa-let-7a-2-3p,KMT5A,Homo sapiens,miRWalk,miRNA-mRNA
3903,hsa-let-7a-2-3p,KMT5B,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
3904,hsa-let-7a-2-3p,KMT5C,Homo sapiens,miRWalk,miRNA-mRNA
3905,hsa-let-7a-2-3p,KNCN,Homo sapiens,miRWalk,miRNA-mRNA
3906,hsa-let-7a-2-3p,KPNA2,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
3907,hsa-let-7a-2-3p,KPNA4,Homo sapiens,miRDB_6.0,miRNA-mRNA
3908,hsa-let-7a-2-3p,KPNA5,Homo sapiens,RNAInter,miRNA-mRNA
3909,hsa-let-7a-2-3p,KRBOX5,Homo sapiens,miRWalk,miRNA-mRNA
3910,hsa-let-7a-2-3p,KRT39,Homo sapiens,miRWalk,miRNA-mRNA
3911,hsa-let-7a-2-3p,KRT40,Homo sapiens,miRWalk,miRNA-mRNA
3912,hsa-let-7a-2-3p,KRTAP19-2,Homo sapiens,miRWalk,miRNA-mRNA
3913,hsa-let-7a-2-3p,KRTAP4-9,Homo sapiens,miRDB_6.0,miRNA-mRNA
3914,hsa-let-7a-2-3p,KSR1,Homo sapiens,miRWalk,miRNA-mRNA
3915,hsa-let-7a-2-3p,KSR2,Homo sapiens,miRWalk,miRNA-mRNA
3916,hsa-let-7a-2-3p,KXD1,Homo sapiens,miRWalk,miRNA-mRNA
3917,hsa-let-7a-2-3p,LACC1,Homo sapiens,miRWalk,miRNA-mRNA
3918,hsa-let-7a-2-3p,LAG3,Homo sapiens,miRWalk,miRNA-mRNA
3919,hsa-let-7a-2-3p,LANCL2,Homo sapiens,miRWalk,miRNA-mRNA
3920,hsa-let-7a-2-3p,LANCL3,Homo sapiens,miRWalk,miRNA-mRNA
3921,hsa-let-7a-2-3p,LARP4,Homo sapiens,miRDB_6.0,miRNA-mRNA
3922,hsa-let-7a-2-3p,LAS1L,Homo sapiens,miRWalk,miRNA-mRNA
3923,hsa-let-7a-2-3p,LAT2,Homo sapiens,miRWalk,miRNA-mRNA
3924,hsa-let-7a-2-3p,LBHD1,Homo sapiens,miRWalk,miRNA-mRNA
3925,hsa-let-7a-2-3p,LCE4A,Homo sapiens,miRWalk,miRNA-mRNA
3926,hsa-let-7a-2-3p,LCK,Homo sapiens,miRWalk,miRNA-mRNA
3927,hsa-let-7a-2-3p,LCLAT1,Homo sapiens,miRWalk,miRNA-mRNA
3928,hsa-let-7a-2-3p,LCOR,Homo sapiens,miRWalk,miRNA-mRNA
3929,hsa-let-7a-2-3p,LCP2,Homo sapiens,miRWalk,miRNA-mRNA
3930,hsa-let-7a-2-3p,LCTL,Homo sapiens,miRWalk,miRNA-mRNA
3931,hsa-let-7a-2-3p,LDB3,Homo sapiens,miRWalk,miRNA-mRNA
3932,hsa-let-7a-2-3p,LDHAL6A,Homo sapiens,miRWalk,miRNA-mRNA
3933,hsa-let-7a-2-3p,LDLRAD4,Homo sapiens,miRWalk,miRNA-mRNA
3934,hsa-let-7a-2-3p,LEF1,Homo sapiens,miRWalk,miRNA-mRNA
3935,hsa-let-7a-2-3p,LEKR1,Homo sapiens,miRWalk,miRNA-mRNA
3936,hsa-let-7a-2-3p,LETM2,Homo sapiens,miRDB_6.0,miRNA-mRNA
3937,hsa-let-7a-2-3p,LEUTX,Homo sapiens,miRWalk,miRNA-mRNA
3938,hsa-let-7a-2-3p,LGALS12,Homo sapiens,miRWalk,miRNA-mRNA
3939,hsa-let-7a-2-3p,LGALS2,Homo sapiens,miRWalk,miRNA-mRNA
3940,hsa-let-7a-2-3p,LGALS3BP,Homo sapiens,miRWalk,miRNA-mRNA
3941,hsa-let-7a-2-3p,LHFP,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
3942,hsa-let-7a-2-3p,LHFPL6,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
3943,hsa-let-7a-2-3p,LHX1,Homo sapiens,miRWalk,miRNA-mRNA
3944,hsa-let-7a-2-3p,LHX3,Homo sapiens,miRWalk,miRNA-mRNA
3945,hsa-let-7a-2-3p,LIAS,Homo sapiens,miRDB_6.0,miRNA-mRNA
3946,hsa-let-7a-2-3p,LILRB1,Homo sapiens,miRWalk,miRNA-mRNA
3947,hsa-let-7a-2-3p,LIMA1,Homo sapiens,miRWalk,miRNA-mRNA
3948,hsa-let-7a-2-3p,LIMCH1,Homo sapiens,miRWalk,miRNA-mRNA
3949,hsa-let-7a-2-3p,LIMD2,Homo sapiens,RNAInter,miRNA-mRNA
3950,hsa-let-7a-2-3p,LIMS1,Homo sapiens,miRWalk,miRNA-mRNA
3951,hsa-let-7a-2-3p,LIMS2,Homo sapiens,miRWalk,miRNA-mRNA
3952,hsa-let-7a-2-3p,LIN28A,Homo sapiens,RNAInter,miRNA-mRNA
3953,hsa-let-7a-2-3p,LIN28B,Homo sapiens,miRDB_6.0,miRNA-mRNA
3954,hsa-let-7a-2-3p,LINGO1,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
3955,hsa-let-7a-2-3p,LIPE,Homo sapiens,miRWalk,miRNA-mRNA
3956,hsa-let-7a-2-3p,LITAFD,Homo sapiens,miRWalk,miRNA-mRNA
3957,hsa-let-7a-2-3p,LIX1,Homo sapiens,miRWalk,miRNA-mRNA
3958,hsa-let-7a-2-3p,LIX1L,Homo sapiens,miRWalk,miRNA-mRNA
3959,hsa-let-7a-2-3p,LMF1,Homo sapiens,miRWalk,miRNA-mRNA
3960,hsa-let-7a-2-3p,LMNA,Homo sapiens,miRWalk,miRNA-mRNA
3961,hsa-let-7a-2-3p,LMNB2,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
3962,hsa-let-7a-2-3p,LMO2,Homo sapiens,miRWalk,miRNA-mRNA
3963,hsa-let-7a-2-3p,LMO3,Homo sapiens,miRWalk,miRNA-mRNA
3964,hsa-let-7a-2-3p,LMO7,Homo sapiens,miRWalk,miRNA-mRNA
3965,hsa-let-7a-2-3p,LMOD1,Homo sapiens,miRWalk,miRNA-mRNA
3966,hsa-let-7a-2-3p,LMX1A,Homo sapiens,miRDB_6.0,miRNA-mRNA
3967,hsa-let-7a-2-3p,LNX2,Homo sapiens,miRWalk,miRNA-mRNA
3968,hsa-let-7a-2-3p,LOC101928943,Homo sapiens,RNAInter,miRNA-lncRNA
3969,hsa-let-7a-2-3p,LOC102724652,Homo sapiens,miRWalk,miRNA-mRNA
3970,hsa-let-7a-2-3p,LOC102725191,Homo sapiens,miRWalk,miRNA-mRNA
3971,hsa-let-7a-2-3p,LOC112268293,Homo sapiens,miRWalk,miRNA-mRNA
3972,hsa-let-7a-2-3p,LOC118142757,Homo sapiens,miRWalk,miRNA-mRNA
3973,hsa-let-7a-2-3p,LOC441155,Homo sapiens,miRWalk,miRNA-mRNA
3974,hsa-let-7a-2-3p,LOC441239,Homo sapiens,miRWalk,miRNA-mRNA
3975,hsa-let-7a-2-3p,LONRF3,Homo sapiens,miRWalk,miRNA-mRNA
3976,hsa-let-7a-2-3p,LOXHD1,Homo sapiens,miRWalk,miRNA-mRNA
3977,hsa-let-7a-2-3p,LOXL3,Homo sapiens,miRWalk,miRNA-mRNA
3978,hsa-let-7a-2-3p,LPAR1,Homo sapiens,miRWalk,miRNA-mRNA
3979,hsa-let-7a-2-3p,LPAR6,Homo sapiens,miRWalk,miRNA-mRNA
3980,hsa-let-7a-2-3p,LPCAT3,Homo sapiens,miRWalk,miRNA-mRNA
3981,hsa-let-7a-2-3p,LPIN1,Homo sapiens,miRWalk,miRNA-mRNA
3982,hsa-let-7a-2-3p,LPP,Homo sapiens,miRWalk,miRNA-mRNA
3983,hsa-let-7a-2-3p,LRATD1,Homo sapiens,miRWalk,miRNA-mRNA
3984,hsa-let-7a-2-3p,LRBA,Homo sapiens,miRWalk,miRNA-mRNA
3985,hsa-let-7a-2-3p,LRFN5,Homo sapiens,miRWalk,miRNA-mRNA
3986,hsa-let-7a-2-3p,LRIG1,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
3987,hsa-let-7a-2-3p,LRP10,Homo sapiens,miRWalk,miRNA-mRNA
3988,hsa-let-7a-2-3p,LRP12,Homo sapiens,miRDB_6.0,miRNA-mRNA
3989,hsa-let-7a-2-3p,LRP6,Homo sapiens,miRWalk,miRNA-mRNA
3990,hsa-let-7a-2-3p,LRP8,Homo sapiens,RNAInter,miRNA-mRNA
3991,hsa-let-7a-2-3p,LRRC30,Homo sapiens,miRWalk,miRNA-mRNA
3992,hsa-let-7a-2-3p,LRRC3B,Homo sapiens,miRWalk,miRNA-mRNA
3993,hsa-let-7a-2-3p,LRRC41,Homo sapiens,miRWalk,miRNA-mRNA
3994,hsa-let-7a-2-3p,LRRC4C,Homo sapiens,miRWalk,miRNA-mRNA
3995,hsa-let-7a-2-3p,LRRC52,Homo sapiens,miRWalk,miRNA-mRNA
3996,hsa-let-7a-2-3p,LRRD1,Homo sapiens,miRWalk,miRNA-mRNA
3997,hsa-let-7a-2-3p,LRRFIP2,Homo sapiens,miRWalk,miRNA-mRNA
3998,hsa-let-7a-2-3p,LRRIQ4,Homo sapiens,miRWalk,miRNA-mRNA
3999,hsa-let-7a-2-3p,LRRK2,Homo sapiens,miRWalk,miRNA-mRNA
4000,hsa-let-7a-2-3p,LRRTM1,Homo sapiens,miRWalk,miRNA-mRNA
4001,hsa-let-7a-2-3p,LRRTM3,Homo sapiens,miRDB_6.0,miRNA-mRNA
4002,hsa-let-7a-2-3p,LTA4H,Homo sapiens,miRWalk,miRNA-mRNA
4003,hsa-let-7a-2-3p,LTB4R,Homo sapiens,miRWalk,miRNA-mRNA
4004,hsa-let-7a-2-3p,LTF,Homo sapiens,miRWalk,miRNA-mRNA
4005,hsa-let-7a-2-3p,LUC7L2,Homo sapiens,miRWalk,miRNA-mRNA
4006,hsa-let-7a-2-3p,LURAP1L,Homo sapiens,miRWalk,miRNA-mRNA
4007,hsa-let-7a-2-3p,LYAR,Homo sapiens,miRWalk,miRNA-mRNA
4008,hsa-let-7a-2-3p,LYPD1,Homo sapiens,miRWalk,miRNA-mRNA
4009,hsa-let-7a-2-3p,LYPD4,Homo sapiens,miRWalk,miRNA-mRNA
4010,hsa-let-7a-2-3p,LYPD6,Homo sapiens,miRWalk,miRNA-mRNA
4011,hsa-let-7a-2-3p,LYRM1,Homo sapiens,miRWalk,miRNA-mRNA
4012,hsa-let-7a-2-3p,LYRM2,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4013,hsa-let-7a-2-3p,LYRM9,Homo sapiens,miRWalk,miRNA-mRNA
4014,hsa-let-7a-2-3p,LYSMD1,Homo sapiens,miRWalk,miRNA-mRNA
4015,hsa-let-7a-2-3p,LYSMD2,Homo sapiens,miRWalk,miRNA-mRNA
4016,hsa-let-7a-2-3p,LZIC,Homo sapiens,miRWalk,miRNA-mRNA
4017,hsa-let-7a-2-3p,LZTFL1,Homo sapiens,miRWalk,miRNA-mRNA
4018,hsa-let-7a-2-3p,M6PR,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4019,hsa-let-7a-2-3p,MACROH2A1,Homo sapiens,miRWalk,miRNA-mRNA
4020,hsa-let-7a-2-3p,MAGEA10,Homo sapiens,miRWalk,miRNA-mRNA
4021,hsa-let-7a-2-3p,MAGEA11,Homo sapiens,miRWalk,miRNA-mRNA
4022,hsa-let-7a-2-3p,MAGEA2,Homo sapiens,miRWalk,miRNA-mRNA
4023,hsa-let-7a-2-3p,MAGEA2B,Homo sapiens,miRWalk,miRNA-mRNA
4024,hsa-let-7a-2-3p,MAGEA4,Homo sapiens,miRWalk,miRNA-mRNA
4025,hsa-let-7a-2-3p,MAGEA8,Homo sapiens,miRWalk,miRNA-mRNA
4026,hsa-let-7a-2-3p,MAGEB10,Homo sapiens,miRWalk,miRNA-mRNA
4027,hsa-let-7a-2-3p,MAGEB3,Homo sapiens,miRWalk,miRNA-mRNA
4028,hsa-let-7a-2-3p,MAGED1,Homo sapiens,miRWalk,miRNA-mRNA
4029,hsa-let-7a-2-3p,MAGED2,Homo sapiens,miRWalk,miRNA-mRNA
4030,hsa-let-7a-2-3p,MAGI1,Homo sapiens,miRWalk,miRNA-mRNA
4031,hsa-let-7a-2-3p,MAGI2,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4032,hsa-let-7a-2-3p,MAIP1,Homo sapiens,miRWalk,miRNA-mRNA
4033,hsa-let-7a-2-3p,MAL2,Homo sapiens,miRWalk,miRNA-mRNA
4034,hsa-let-7a-2-3p,MAML2,Homo sapiens,miRWalk,miRNA-mRNA
4035,hsa-let-7a-2-3p,MAML3,Homo sapiens,miRWalk,miRNA-mRNA
4036,hsa-let-7a-2-3p,MAN1A2,Homo sapiens,miRWalk,miRNA-mRNA
4037,hsa-let-7a-2-3p,MANBAL,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4038,hsa-let-7a-2-3p,MAP2,Homo sapiens,miRWalk,miRNA-mRNA
4039,hsa-let-7a-2-3p,MAP2K3,Homo sapiens,miRWalk,miRNA-mRNA
4040,hsa-let-7a-2-3p,MAP2K5,Homo sapiens,miRWalk,miRNA-mRNA
4041,hsa-let-7a-2-3p,MAP3K10,Homo sapiens,miRWalk,miRNA-mRNA
4042,hsa-let-7a-2-3p,MAP3K13,Homo sapiens,miRWalk,miRNA-mRNA
4043,hsa-let-7a-2-3p,MAP3K20,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4044,hsa-let-7a-2-3p,MAP3K7CL,Homo sapiens,miRWalk,miRNA-mRNA
4045,hsa-let-7a-2-3p,MAP4K3,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4046,hsa-let-7a-2-3p,MAP7,Homo sapiens,RNAInter;miRWalk;miRTarBase_9.0,miRNA-mRNA
4047,hsa-let-7a-2-3p,MAPK14,Homo sapiens,miRWalk,miRNA-mRNA
4048,hsa-let-7a-2-3p,MAPKAP1,Homo sapiens,miRWalk,miRNA-mRNA
4049,hsa-let-7a-2-3p,MARCHF1,Homo sapiens,miRWalk,miRNA-mRNA
4050,hsa-let-7a-2-3p,MARCHF4,Homo sapiens,miRWalk,miRNA-mRNA
4051,hsa-let-7a-2-3p,MARK3,Homo sapiens,miRWalk,miRNA-mRNA
4052,hsa-let-7a-2-3p,MAST2,Homo sapiens,miRWalk,miRNA-mRNA
4053,hsa-let-7a-2-3p,MAST4,Homo sapiens,miRWalk,miRNA-mRNA
4054,hsa-let-7a-2-3p,MATR3,Homo sapiens,miRWalk,miRNA-mRNA
4055,hsa-let-7a-2-3p,MB,Homo sapiens,miRWalk,miRNA-mRNA
4056,hsa-let-7a-2-3p,MBD5,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4057,hsa-let-7a-2-3p,MBNL2,Homo sapiens,miRDB_6.0,miRNA-mRNA
4058,hsa-let-7a-2-3p,MBTD1,Homo sapiens,miRDB_6.0,miRNA-mRNA
4059,hsa-let-7a-2-3p,MCF2L2,Homo sapiens,miRWalk,miRNA-mRNA
4060,hsa-let-7a-2-3p,MCM7,Homo sapiens,miRWalk,miRNA-mRNA
4061,hsa-let-7a-2-3p,MCM8,Homo sapiens,miRWalk,miRNA-mRNA
4062,hsa-let-7a-2-3p,MCMBP,Homo sapiens,miRWalk,miRNA-mRNA
4063,hsa-let-7a-2-3p,MCOLN3,Homo sapiens,miRDB_6.0,miRNA-mRNA
4064,hsa-let-7a-2-3p,MCTP2,Homo sapiens,RNAInter,miRNA-mRNA
4065,hsa-let-7a-2-3p,MDH1,Homo sapiens,miRWalk,miRNA-mRNA
4066,hsa-let-7a-2-3p,MDK,Homo sapiens,miRWalk,miRNA-mRNA
4067,hsa-let-7a-2-3p,MDM2,Homo sapiens,RNAInter,miRNA-mRNA
4068,hsa-let-7a-2-3p,ME3,Homo sapiens,miRWalk,miRNA-mRNA
4069,hsa-let-7a-2-3p,MEA1,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4070,hsa-let-7a-2-3p,MECOM,Homo sapiens,miRWalk,miRNA-mRNA
4071,hsa-let-7a-2-3p,MED12L,Homo sapiens,miRWalk,miRNA-mRNA
4072,hsa-let-7a-2-3p,MED13L,Homo sapiens,miRDB_6.0,miRNA-mRNA
4073,hsa-let-7a-2-3p,MED15,Homo sapiens,miRWalk,miRNA-mRNA
4074,hsa-let-7a-2-3p,MED23,Homo sapiens,miRWalk,miRNA-mRNA
4075,hsa-let-7a-2-3p,MEF2C,Homo sapiens,miRWalk,miRNA-mRNA
4076,hsa-let-7a-2-3p,MEF2D,Homo sapiens,miRWalk,miRNA-mRNA
4077,hsa-let-7a-2-3p,MEGF11,Homo sapiens,miRDB_6.0,miRNA-mRNA
4078,hsa-let-7a-2-3p,MEIOC,Homo sapiens,miRWalk,miRNA-mRNA
4079,hsa-let-7a-2-3p,MEIS1,Homo sapiens,miRWalk,miRNA-mRNA
4080,hsa-let-7a-2-3p,MEIS2,Homo sapiens,miRWalk,miRNA-mRNA
4081,hsa-let-7a-2-3p,MEIS3,Homo sapiens,miRWalk,miRNA-mRNA
4082,hsa-let-7a-2-3p,MEMO1,Homo sapiens,miRDB_6.0,miRNA-mRNA
4083,hsa-let-7a-2-3p,MEOX1,Homo sapiens,miRWalk,miRNA-mRNA
4084,hsa-let-7a-2-3p,MEPCE,Homo sapiens,miRWalk,miRNA-mRNA
4085,hsa-let-7a-2-3p,MET,Homo sapiens,miRWalk,miRNA-mRNA
4086,hsa-let-7a-2-3p,METTL15,Homo sapiens,miRWalk,miRNA-mRNA
4087,hsa-let-7a-2-3p,METTL4,Homo sapiens,miRWalk,miRNA-mRNA
4088,hsa-let-7a-2-3p,METTL9,Homo sapiens,miRWalk,miRNA-mRNA
4089,hsa-let-7a-2-3p,MFAP3,Homo sapiens,miRWalk,miRNA-mRNA
4090,hsa-let-7a-2-3p,MFGE8,Homo sapiens,miRWalk,miRNA-mRNA
4091,hsa-let-7a-2-3p,MFN1,Homo sapiens,miRWalk,miRNA-mRNA
4092,hsa-let-7a-2-3p,MFN2,Homo sapiens,miRWalk,miRNA-mRNA
4093,hsa-let-7a-2-3p,MFSD10,Homo sapiens,RNAInter,miRNA-mRNA
4094,hsa-let-7a-2-3p,MFSD5,Homo sapiens,RNAInter,miRNA-mRNA
4095,hsa-let-7a-2-3p,MGAT1,Homo sapiens,miRWalk,miRNA-mRNA
4096,hsa-let-7a-2-3p,MGAT2,Homo sapiens,miRWalk,miRNA-mRNA
4097,hsa-let-7a-2-3p,MGAT4B,Homo sapiens,miRWalk,miRNA-mRNA
4098,hsa-let-7a-2-3p,MGAT4C,Homo sapiens,miRWalk,miRNA-mRNA
4099,hsa-let-7a-2-3p,MGAT5,Homo sapiens,miRWalk,miRNA-mRNA
4100,hsa-let-7a-2-3p,MIA2,Homo sapiens,miRWalk,miRNA-mRNA
4101,hsa-let-7a-2-3p,MICA,Homo sapiens,miRWalk,miRNA-mRNA
